Process(V) Name                 Module Base Module Name          Result
0x85cc63c8 lsm.exe              0x075980000 RpcRtRemote.dll      OK: module.432.df0c63c8.75980000.dll
0x85cc63c8 lsm.exe              0x0750e0000 pcwum.dll            OK: module.432.df0c63c8.750e0000.dll
0x85cc63c8 lsm.exe              0x075910000 CRYPTBASE.dll        OK: module.432.df0c63c8.75910000.dll
0x85cc63c8 lsm.exe              0x0764d0000 msvcrt.dll           OK: module.432.df0c63c8.764d0000.dll
0x85d1b9b8 svchost.exe          0x000aa0000 svchost.exe          OK: module.524.df11b9b8.aa0000.dll
0x85d1b9b8 svchost.exe          0x077b10000 ntdll.dll            OK: module.524.df11b9b8.77b10000.dll
0x85d1b9b8 svchost.exe          0x075130000 SPINF.dll            OK: module.524.df11b9b8.75130000.dll
0x85d1b9b8 svchost.exe          0x077830000 kernel32.dll         OK: module.524.df11b9b8.77830000.dll
0x85d1b9b8 svchost.exe          0x077970000 SETUPAPI.dll         OK: module.524.df11b9b8.77970000.dll
0x85d1b9b8 svchost.exe          0x076780000 RPCRT4.dll           OK: module.524.df11b9b8.76780000.dll
0x85d1b9b8 svchost.exe          0x075990000 WINSTA.dll           OK: module.524.df11b9b8.75990000.dll
0x85d1b9b8 svchost.exe          0x0765b0000 sechost.dll          OK: module.524.df11b9b8.765b0000.dll
0x85d1b9b8 svchost.exe          0x0775d0000 MSCTF.dll            OK: module.524.df11b9b8.775d0000.dll
0x85d1b9b8 svchost.exe          0x070e60000 wbemcomn.dll         OK: module.524.df11b9b8.70e60000.dll
0x85d1b9b8 svchost.exe          0x070df0000 wmidcprv.dll         OK: module.524.df11b9b8.70df0000.dll
0x85d1b9b8 svchost.exe          0x075c00000 USERENV.dll          OK: module.524.df11b9b8.75c00000.dll
0x85d1b9b8 svchost.exe          0x075d20000 WINTRUST.dll         OK: module.524.df11b9b8.75d20000.dll
0x85d1b9b8 svchost.exe          0x077700000 LPK.dll              OK: module.524.df11b9b8.77700000.dll
0x85d1b9b8 svchost.exe          0x070550000 wmiutils.dll         OK: module.524.df11b9b8.70550000.dll
0x85d1b9b8 svchost.exe          0x0776a0000 WS2_32.dll           OK: module.524.df11b9b8.776a0000.dll
0x85d1b9b8 svchost.exe          0x075080000 rsaenh.dll           OK: module.524.df11b9b8.75080000.dll
0x85d1b9b8 svchost.exe          0x0760d0000 ole32.dll            OK: module.524.df11b9b8.760d0000.dll
0x85d1b9b8 svchost.exe          0x0758a0000 SspiCli.dll          OK: module.524.df11b9b8.758a0000.dll
0x85d1b9b8 svchost.exe          0x075cc0000 DEVOBJ.dll           OK: module.524.df11b9b8.75cc0000.dll
0x85d1b9b8 svchost.exe          0x0766d0000 ADVAPI32.dll         OK: module.524.df11b9b8.766d0000.dll
0x85d1b9b8 svchost.exe          0x0750e0000 pcwum.DLL            OK: module.524.df11b9b8.750e0000.dll
0x85d1b9b8 svchost.exe          0x074ef0000 rpcss.dll            OK: module.524.df11b9b8.74ef0000.dll
0x85d1b9b8 svchost.exe          0x077d00000 GDI32.dll            OK: module.524.df11b9b8.77d00000.dll
0x85d1b9b8 svchost.exe          0x074ed0000 WTSAPI32.dll         OK: module.524.df11b9b8.74ed0000.dll
0x85d1b9b8 svchost.exe          0x075cf0000 CFGMGR32.dll         OK: module.524.df11b9b8.75cf0000.dll
0x85d1b9b8 svchost.exe          0x075300000 DEVRTL.dll           OK: module.524.df11b9b8.75300000.dll
0x85d1b9b8 svchost.exe          0x074f50000 ntmarta.dll          OK: module.524.df11b9b8.74f50000.dll
0x85d1b9b8 svchost.exe          0x075110000 GPAPI.dll            OK: module.524.df11b9b8.75110000.dll
0x85d1b9b8 svchost.exe          0x0764c0000 NSI.dll              OK: module.524.df11b9b8.764c0000.dll
0x85d1b9b8 svchost.exe          0x075980000 RpcRtRemote.dll      OK: module.524.df11b9b8.75980000.dll
0x85d1b9b8 svchost.exe          0x077790000 USP10.dll            OK: module.524.df11b9b8.77790000.dll
0x85d1b9b8 svchost.exe          0x0765d0000 OLEAUT32.dll         OK: module.524.df11b9b8.765d0000.dll
0x85d1b9b8 svchost.exe          0x0750d0000 credssp.dll          OK: module.524.df11b9b8.750d0000.dll
0x85d1b9b8 svchost.exe          0x0754c0000 CRYPTSP.dll          OK: module.524.df11b9b8.754c0000.dll
0x85d1b9b8 svchost.exe          0x070bd0000 wbemprox.dll         OK: module.524.df11b9b8.70bd0000.dll
0x85d1b9b8 svchost.exe          0x0758c0000 apphelp.dll          OK: module.524.df11b9b8.758c0000.dll
0x85d1b9b8 svchost.exe          0x075a30000 profapi.dll          OK: module.524.df11b9b8.75a30000.dll
